[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Shield.001
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -31.733900 Y 7.482800 Z -15.525400
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[ERROR]	H2B Not Found: ../../Models/Shield.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: sword.002
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -31.595900 Y 7.798100 Z -10.854200
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/sword.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Shield.002
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -31.733900 Y 7.482800 Z -10.816400
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[ERROR]	H2B Not Found: ../../Models/Shield.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: sword.003
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -31.595900 Y 7.798100 Z -8.371300
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/sword.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: sword.004
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -31.595900 Y 7.798100 Z -6.025400
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/sword.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: sword.005
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -22.082100 Y 6.078100 Z -6.459200
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/sword.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: sword.006
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -21.709900 Y 6.154600 Z -3.452800
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/sword.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Barrel.001
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -22.592300 Y 4.693200 Z -15.537300
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/Barrel.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Barrel.002
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -24.047100 Y 4.039000 Z -13.128300
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/Barrel.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Barrel.003
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -26.244200 Y 4.039000 Z -11.233600
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/Barrel.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Barrel.004
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -27.975000 Y 4.693200 Z -14.165500
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/Barrel.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Camera.001
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -20.994200 Y 9.817100 Z -27.070700
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Cube
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -25.965300 Y 3.581600 Z -10.788200
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/Cube.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Cube.001
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -32.350700 Y 8.382000 Z -10.828800
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/Cube.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Model Detected: Cube.002
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	Location: X -23.015400 Y 8.375800 Z 1.975900
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[INFO]	H2B Imported: ../../Models/Cube.h2b
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[MESSAGE]	Game Level File Reading Complete.
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [OBJECT ORIENTED]
[Thu Feb 23 14:38:59 2023] ThreadID[25656]	End Program.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	Start Program.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[EVENT]	LOADING GAME LEVEL [OBJECT ORIENTED]
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Reading Game Level Text File.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Model Detected: Light
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Location: X 0.367200 Y 0.572300 Z -1.265700
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Importing of .H2B File Data Complete. Light created
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Model Detected: Camera
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Location: X 7.358900 Y 4.958300 Z -6.925800
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Model Detected: TowerHouse_FirstAge
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Location: X -1.112500 Y 0.069500 Z -1.277700
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	H2B Imported: ../../Models/TowerHouse_FirstAge.h2b
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Model Detected: Platform_4x4_Empty
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Location: X 0.000000 Y 0.000000 Z 0.000000
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	H2B Imported: ../../Models/Platform_4x4_Empty.h2b
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Model Detected: Mountain_Group_1
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Location: X 0.000000 Y 0.000000 Z 1.770600
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	H2B Imported: ../../Models/Mountain_Group_1.h2b
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Model Detected: Barrel
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Location: X -0.479100 Y 0.078400 Z -0.903500
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	H2B Imported: ../../Models/Barrel.h2b
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Model Detected: Resource_Tree1
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Location: X 0.399800 Y 0.000000 Z 0.230300
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	H2B Imported: ../../Models/Resource_Tree1.h2b
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Model Detected: Resource_Tree1
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Location: X -0.956700 Y 0.066000 Z 0.257300
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	H2B Imported: ../../Models/Resource_Tree1.h2b
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Model Detected: Resource_Tree1
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Location: X 1.200600 Y 0.031100 Z -1.275800
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	H2B Imported: ../../Models/Resource_Tree1.h2b
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Model Detected: Barrel
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Location: X -0.495200 Y 0.073700 Z -1.015600
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	H2B Imported: ../../Models/Barrel.h2b
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Model Detected: Computer_Large
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Location: X -0.112100 Y 0.000000 Z -1.484700
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	H2B Imported: ../../Models/Computer_Large.h2b
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Model Detected: Resource_Gold_2
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Location: X 0.862000 Y 0.000000 Z 0.869900
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	H2B Imported: ../../Models/Resource_Gold_2.h2b
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Model Detected: Rail_Corner
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Location: X 1.140800 Y 0.062400 Z 0.650800
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	H2B Imported: ../../Models/Rail_Corner.h2b
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Model Detected: Farm_Dirt_Level1
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	Location: X 0.142900 Y 0.070000 Z -0.484300
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[INFO]	H2B Imported: ../../Models/Farm_Dirt_Level1.h2b
[Thu Feb 23 14:39:29 2023] ThreadID[12180]	[MESSAGE]	Importing of .H2B File Data Complete.
